hour,city,sensor_count,pm25_mean,pm25_median,pm25_max,temperature,humidity,pressure,wind_speed,clouds,coverage_quality,is_missing_hour,pm25_lag_1h,pm25_lag_3h,pm25_lag_6h,pm25_lag_12h,pm25_lag_24h,hour_of_day,day_of_week,month,day_of_year,is_weekend,hour_sin,hour_cos,month_sin,month_cos,pm25_rolling_mean_3h,pm25_rolling_mean_6h,pm25_rolling_mean_24h,pm25_rolling_std_24h,pm25_change_1h,pm25_change_24h,target_24h,target_48h,target_72h
2025-06-23 05:00:00+00:00,Faisalabad,1.0,49.2,49.2,49.2,34.7,66.0,975.5,5.1,3.0,LOW,False,,,,,,5,0,6,174,0,0.9659258262890683,0.25881904510252074,1.2246467991473532e-16,-1.0,,,,,,,39.06666666666666,53.35,56.66
2025-06-23 06:00:00+00:00,Faisalabad,2.0,42.1,42.1,44.4,35.9,60.0,975.0,3.6,1.0,LIMITED,False,49.2,,,,,6,0,6,174,0,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,,,,,-7.100000000000001,,38.28,48.15555555555556,64.89090909090909
2025-06-23 07:00:00+00:00,Faisalabad,,,,,,,,,,,True,42.1,,,,,7,0,6,174,0,0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0,,,,,,,52.583333333333336,,76.89999999999999
2025-06-23 08:00:00+00:00,Faisalabad,2.0,51.55,51.55,58.0,37.7,52.0,973.6,2.9,12.0,LIMITED,False,,49.2,,,,8,0,6,174,0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,,,,,,,46.333333333333336,40.85,86.60000000000001
2025-06-23 09:00:00+00:00,Faisalabad,2.0,45.9,45.9,47.0,38.2,51.0,972.8,3.6,21.0,LIMITED,False,51.55,42.1,,,,9,0,6,174,0,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0,,,,,-5.649999999999999,,92.175,59.29,86.35833333333333
2025-06-23 10:00:00+00:00,Faisalabad,2.0,41.85,41.85,42.8,38.3,49.0,971.7,4.7,6.0,LIMITED,False,45.9,,,,,10,0,6,174,0,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,,,,,-4.049999999999997,,58.8125,46.77,105.25454545454544
2025-06-23 11:00:00+00:00,Faisalabad,3.0,40.36666666666667,40.7,43.7,38.1,48.0,971.0,5.599999999999999,3.0,GOOD,False,41.85,51.55,49.2,,,11,0,6,174,0,0.258819045102521,-0.9659258262890682,1.2246467991473532e-16,-1.0,46.43333333333334,,,,-1.4833333333333343,,53.942857142857136,42.15,69.76153846153846
2025-06-23 12:00:00+00:00,Faisalabad,4.0,42.775,42.7,48.8,37.7,50.0,970.4,4.5,1.0,GOOD,False,40.36666666666667,45.9,42.1,,,12,0,6,174,0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,42.705555555555556,,,,2.4083333333333314,,46.34285714285714,52.75,51.5
2025-06-23 13:00:00+00:00,Faisalabad,4.0,46.275,46.0,50.1,36.5,58.0,971.8,3.4,100.0,GOOD,False,42.775,41.85,,,,13,0,6,174,0,-0.2588190451025208,-0.9659258262890683,1.2246467991473532e-16,-1.0,41.663888888888884,,,,3.5,,44.92857142857143,71.69,71.14166666666667
2025-06-23 14:00:00+00:00,Faisalabad,4.0,54.075,53.5,59.8,34.6,70.0,971.5,6.2,38.0,GOOD,False,46.275,40.36666666666667,51.55,,,14,0,6,174,0,-0.4999999999999997,-0.8660254037844388,1.2246467991473532e-16,-1.0,43.138888888888886,44.786111111111104,,,7.800000000000004,,49.57142857142857,82.74,94.91666666666669
